Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
651519661f2aa8584da700d6,63e75088facdce331ef18d74,APPROVED,2023-09-28T06:12:57.059000Z,2023-09-28T06:21:55.437000Z,2023-10-02T16:47:01.800000Z,2023-09-28T06:21:56.291000Z,539.0,CE2K9TTL,626,English,none just my native langauge,,,"Yes, I'm colourblind","Art, Politics, Travelling",45,Male,White,Australia,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
651519fea173a4959572f590,63eb52da0490f2bb8056be48,APPROVED,2023-09-28T06:15:26.799000Z,2023-09-28T06:23:49.518000Z,2023-10-02T16:47:01.995000Z,2023-09-28T06:23:50.296000Z,503.0,CE2K9TTL,519,English,none just my native langauge,,,"Yes, I'm colourblind","Art, Video Games, Entrepreneurship",42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,Not Applicable
65151aea1118245fe6e8f4df,5c5aac7092783400014b24ca,APPROVED,2023-09-28T06:19:22.750000Z,2023-09-28T06:27:58.120000Z,2023-10-02T16:47:02.235000Z,2023-09-28T06:28:05.625000Z,516.0,CE2K9TTL,109,English,none just my native langauge,,,"Yes, I'm colourblind","Sports, Travelling, Politics",32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
651521fa16511ce8761db36c,63d447dff5d5b197f0d02275,APPROVED,2023-09-28T06:49:37.422000Z,2023-09-28T06:56:46.125000Z,2023-10-02T16:47:02.418000Z,2023-09-28T06:56:46.898000Z,429.0,CE2K9TTL,1154,English,none just my native langauge,,,"Yes, I'm colourblind","Politics, Health & Fitness, Sports",30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
651522bd42e1022e4987aafb,59518033c58c85000101df8f,APPROVED,2023-09-28T06:52:51.068000Z,2023-09-28T06:57:33.619000Z,2023-10-02T16:47:02.608000Z,2023-09-28T06:57:34.441000Z,283.0,CE2K9TTL,437,English,none just my native langauge,,,"Yes, I'm colourblind","Politics, Science, Health & Fitness",32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
651523d9af51c910a7aa093e,56114aa67ffc8a000f81148d,APPROVED,2023-09-28T06:57:32.549000Z,2023-09-28T07:02:30.154000Z,2023-10-02T16:47:02.827000Z,2023-09-28T07:02:31.008000Z,298.0,CE2K9TTL,3080,English,none just my native langauge,,,"Yes, I'm colourblind","Art, Travelling, Music",52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
651524fbd27ba16cddb26623,63d6607ac75addc076b9ce5e,APPROVED,2023-09-28T07:02:23.349000Z,2023-09-28T07:08:33.727000Z,2023-10-02T16:47:03.002000Z,2023-09-28T07:08:34.491000Z,371.0,CE2K9TTL,354,English,none just my native langauge,,,"Yes, I'm colourblind","Health & Fitness, Art, Literature",31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65152597e199ed437f04117a,64f6c82c1940a94c6aa1e9b3,APPROVED,2023-09-28T07:04:59.934000Z,2023-09-28T07:13:42.008000Z,2023-10-02T16:47:03.197000Z,2023-09-28T07:13:43.112000Z,523.0,CE2K9TTL,40,English,none just my native langauge,,,"Yes, I'm colourblind","Video Games, Philosophy, Entrepreneurship",22,Male,Mixed,Canada,Canada,Canada,English,No,Full-Time,Not Applicable
6515269863b9774056f648a4,65047b9d7f27362d177b824b,APPROVED,2023-09-28T07:09:15.471000Z,2023-09-28T07:23:58.133000Z,2023-10-02T16:47:03.391000Z,2023-09-28T07:23:58.984000Z,883.0,CE2K9TTL,66,English,none just my native langauge,,,"Yes, I'm colourblind","Literature, Sports, Video Games",27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
6515287f0298b55754749370,63d79d9bdcff357d2f18fff0,APPROVED,2023-09-28T07:17:22.705000Z,2023-09-28T07:21:08.488000Z,2023-10-02T16:47:03.613000Z,2023-09-28T07:21:09.422000Z,226.0,CE2K9TTL,995,"English, Hindi, Punjabi",none just my native langauge,,,"Yes, I'm colourblind","Health & Fitness, Sports, Travelling",31,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month,Not Applicable
