Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62775892185e19612007891e,5d4310bbd8e961001b825ca4,APPROVED,Not Applicable,2022-05-08T05:43:49.461000Z,2022-05-08T05:58:47.772000Z,2022-05-09T15:27:36.176000Z,,899.0,175F631D,3204,English,"Yes, I'm colourblind","Sports, Politics, Travelling",65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
627758a98d3c6869813603dd,5d02695334bace00012a468c,APPROVED,Not Applicable,2022-05-08T05:44:12.722000Z,2022-05-08T06:07:22.535000Z,2022-05-09T15:27:36.389000Z,,1390.0,175F631D,452,"Hebrew, English","Yes, I'm colourblind","Economics, Music, Travelling",26,Male,Asian,Israel,Israel,Israel,Hebrew,Yes,Full-Time
627758d4f9ad257a83cf47be,5bf116a61e78580001dc4842,APPROVED,Not Applicable,2022-05-08T05:44:54.465000Z,2022-05-08T06:07:43.102000Z,2022-05-09T15:27:36.575000Z,,1369.0,175F631D,4260,"Chinese, English","Yes, I'm colourblind","Science, Economics, Health & Fitness",24,Male,Asian,United States,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
62775a709ff79765830efefd,59d395800118340001369be1,APPROVED,Not Applicable,2022-05-08T05:51:47.709000Z,2022-05-08T06:07:59.012000Z,2022-05-09T15:27:36.737000Z,,972.0,175F631D,2249,"English, French","Yes, I'm colourblind","Sports, Marketing, Music",32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
62775a938d3c6869813603e2,5d3a5858f7ddf70001353ae4,APPROVED,Not Applicable,2022-05-08T05:52:19.120000Z,2022-05-08T06:09:43.996000Z,2022-05-09T15:27:36.925000Z,,1045.0,175F631D,610,English,"Yes, I'm colourblind","Science, Philosophy, Health & Fitness",33,Male,White,New Zealand,New Zealand,New Zealand,English,No,Full-Time
62775aa9db9b0bcf9f7d4b9e,611912de5a969fac0879abe0,TIMED-OUT,Not Applicable,2022-05-08T05:52:51.185000Z,,,,61049496.0,,281,English,"Yes, I'm colourblind","Music, Video Games, Health & Fitness",38,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Part-Time
62775e2b4a4432487d2e4856,614e155acfb658911e1b16f7,APPROVED,Not Applicable,2022-05-08T06:07:52.099000Z,2022-05-08T06:25:40.022000Z,2022-05-09T15:27:37.172000Z,,1068.0,175F631D,196,English,"Yes, I'm colourblind","Psychology, Travelling, Health & Fitness",37,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Part-Time
62775f8859563376b91ee98d,5fb25a7e5960a87fb627c12b,APPROVED,Not Applicable,2022-05-08T06:13:32.483000Z,2022-05-08T06:37:06.504000Z,2022-05-09T15:27:37.313000Z,,1415.0,175F631D,1830,"French, Urdu, English","Yes, I'm colourblind","Art, Politics, Travelling",77,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62775fc20b392a3626715095,60f5763eb0c6dde109026ff5,APPROVED,Not Applicable,2022-05-08T06:14:39.666000Z,2022-05-08T06:40:02.352000Z,2022-05-09T15:27:37.463000Z,,1523.0,175F631D,269,English,"Yes, I'm colourblind","Art, Music, Travelling",21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Due to start a new job within the next month
62776065566b0da277f3733c,5f1af086e0ba3225821329c7,APPROVED,Not Applicable,2022-05-08T06:17:13.121000Z,2022-05-08T06:38:00.843000Z,2022-05-09T15:27:37.668000Z,,1248.0,175F631D,1170,English,"Yes, I'm colourblind","Health & Fitness, Music, Sports",33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
627760adf0cb567e3602aa96,5ff4a242cbe069bc27d9278b,APPROVED,Not Applicable,2022-05-08T06:18:21.243000Z,2022-05-08T06:36:01.049000Z,2022-05-09T15:27:37.865000Z,,1060.0,175F631D,1331,"English, Italian","Yes, I'm colourblind","Science, Travelling, Mathematics",47,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
627761e9b9f9c14aaba2982f,5ea00fd3dc4409000ab95048,APPROVED,Not Applicable,2022-05-08T06:23:41.460000Z,2022-05-08T06:46:29.159000Z,2022-05-09T15:27:38.060000Z,,1368.0,175F631D,1320,English,"Yes, I'm colourblind","Music, Politics",72,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6277621fe509148725725f07,61176ed28c8935138ab6a64b,APPROVED,Not Applicable,2022-05-08T06:24:31.557000Z,2022-05-08T06:53:31.911000Z,2022-05-09T15:27:38.242000Z,,1741.0,175F631D,519,English,"Yes, I'm colourblind","Science, Music, Sports",28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6277633b94254e92271eeef3,62679e64d9dccf21e99ea442,RETURNED,Not Applicable,2022-05-08T06:29:27.276000Z,,,,,,316,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
627763705742ae66efc69e8f,5f7becc19ffec41eeb3afdd4,APPROVED,Not Applicable,2022-05-08T06:30:15.092000Z,2022-05-08T06:43:46.281000Z,2022-05-09T15:27:38.401000Z,,812.0,175F631D,263,English,"Yes, I'm colourblind","Mathematics, Travelling",69,Male,White,New Zealand,New Zealand,New Zealand,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62776402eb403038878db841,609bfaeea5897bb6de3dc16f,APPROVED,Not Applicable,2022-05-08T06:32:34.154000Z,2022-05-08T06:55:18.801000Z,2022-05-09T15:27:38.571000Z,,1365.0,175F631D,204,English,"Yes, I'm colourblind","Health & Fitness, Music, Travelling",49,Male,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6277644f3eba66e235f4f302,6041fb6a61119008783f2fef,APPROVED,Not Applicable,2022-05-08T06:33:51.147000Z,2022-05-08T06:53:14.458000Z,2022-05-09T15:27:38.758000Z,,1164.0,175F631D,351,"English, Polish","Yes, I'm colourblind","Psychology, Video Games, Music",21,Male,White,Poland,Poland,Poland,Polish,Yes,Other
6277647a64b9237d5f02f205,608aea6326ce92d7fe67d323,APPROVED,Not Applicable,2022-05-08T06:34:38.833000Z,2022-05-08T06:54:36.640000Z,2022-05-09T15:27:38.903000Z,,1198.0,175F631D,66,"Afrikaans, English","Yes, I'm colourblind","Entrepreneurship, Literature, Philosophy",26,Female,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
6277660b9e8943548d50b1d9,59d3958ed552520001fe6dfc,APPROVED,Not Applicable,2022-05-08T06:41:23.368000Z,2022-05-08T07:10:44.359000Z,2022-05-09T15:27:39.166000Z,,1761.0,175F631D,893,English,"Yes, I'm colourblind","Science, Video Games, Health & Fitness",43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
627766b81e9a567b65598546,612be9da0b989dd0d6eda5a2,APPROVED,Not Applicable,2022-05-08T06:44:43.972000Z,2022-05-08T07:02:34.870000Z,2022-05-09T15:27:39.380000Z,,1071.0,175F631D,148,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
627768379e99d15aa0ab76c0,60b1073cfd6d4ef92a3fed74,APPROVED,Not Applicable,2022-05-08T06:50:35.788000Z,2022-05-08T07:12:32.453000Z,2022-05-09T15:27:39.629000Z,,1317.0,175F631D,1747,English,"Yes, I'm colourblind","Music, Politics, Science",50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6277685efd4b559a1fe9ab8e,5e7b1409f898741063f7a2f1,APPROVED,Not Applicable,2022-05-08T06:51:10.675000Z,2022-05-08T07:12:36.967000Z,2022-05-09T15:27:39.863000Z,,1287.0,175F631D,340,"English, German, Italian, Polish","Yes, I'm colourblind","Sociology, Economics, Health & Fitness",22,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
627768dc460a5d653892cc44,60c6142639e06670d219098c,APPROVED,Not Applicable,2022-05-08T06:53:16.003000Z,2022-05-08T07:16:56.439000Z,2022-05-09T15:27:40.164000Z,,1421.0,175F631D,96,"English, French","Yes, I'm colourblind","Art, Philosophy, Science",24,Male,White,France,France,France,French,DATA_EXPIRED,DATA_EXPIRED
627769a26240db65716652cc,60deb63539c4fb727e50bd52,APPROVED,Not Applicable,2022-05-08T06:56:48.429000Z,2022-05-08T07:19:16.935000Z,2022-05-09T15:27:40.329000Z,,1349.0,175F631D,1250,English,"Yes, I'm colourblind","Entrepreneurship, Music, Psychology",51,Female,Mixed,Germany,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
627769c4e433e1ebae087c06,5a89648317ef35000170a7d0,TIMED-OUT,Not Applicable,2022-05-08T06:57:19.988000Z,,,,61045630.0,,520,English,"Yes, I'm colourblind",Literature,86,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62776a4314e931ada60a65c3,615adff1a708c42439a715d9,APPROVED,Not Applicable,2022-05-08T06:59:20.482000Z,2022-05-08T07:30:09.576000Z,2022-05-09T15:27:40.479000Z,,1850.0,175F631D,225,English,"Yes, I'm colourblind","Economics, Entrepreneurship, Literature",29,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
62776a9af7d1dc217f01d2ea,5961076cee166f00019591bf,APPROVED,Not Applicable,2022-05-08T07:00:49.214000Z,2022-05-08T07:39:44.327000Z,2022-05-09T15:27:40.620000Z,,2336.0,175F631D,2285,English,"Yes, I'm colourblind","Art, Music, Video Games",26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
62776b53b3beeb79d4b1a0fb,60ede94675fd1c1166e71fef,APPROVED,Not Applicable,2022-05-08T07:03:47.481000Z,2022-05-08T07:25:16.069000Z,2022-05-09T15:27:40.820000Z,,1289.0,175F631D,42,English,"Yes, I'm colourblind","Health & Fitness, Science, Travelling",25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
62776c693fb650a67240ebd0,5c3b37f5f5ebd50001856319,APPROVED,Not Applicable,2022-05-08T07:08:38.863000Z,2022-05-08T07:27:04.855000Z,2022-05-09T15:27:40.999000Z,,1106.0,175F631D,316,"English, Polish","Yes, I'm colourblind",Video Games,33,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
62776c8c52e759ea9ef685ae,60e1ae76ed80cb2d8c84b68b,APPROVED,Not Applicable,2022-05-08T07:09:35.021000Z,2022-05-08T07:45:50.159000Z,2022-05-09T15:27:41.151000Z,,2176.0,175F631D,36,"Afrikaans, English","Yes, I'm colourblind","Entrepreneurship, Literature, Music",26,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
62777326bc695e73cfeafc31,5d31c201c88f0e001a4c3cb3,APPROVED,Not Applicable,2022-05-08T07:37:10.621000Z,2022-05-08T07:54:53.699000Z,2022-05-09T15:27:41.275000Z,,1064.0,175F631D,2315,English,"Yes, I'm colourblind",Video Games,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
