Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Bilingual,Highest education level completed,Literacy difficulties,Hobbies - categories,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6514618de67551ee1a6cbc37,5fea2970cbe0699d90756fd7,APPROVED,2023-09-27T17:08:32.390000Z,2023-09-27T17:14:21.990000Z,2023-09-27T20:33:33.076000Z,2023-09-27T17:14:22.542549Z,350.0,CE2K9TTL,454,English,native language + one other language,Graduate degree (MA/MSc/MPhil/other),No,"Literature, Travelling, Art",41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651461c810b2c6c8114edebc,645e63fdc26c23223753f3cb,APPROVED,2023-09-27T17:09:38.288000Z,2023-09-27T17:17:39.056000Z,2023-09-27T20:33:33.196000Z,2023-09-27T17:17:39.503108Z,481.0,CE2K9TTL,216,English,none just my native langauge,High school diploma/A-levels,No,"Music, Politics, Art",53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,
6514625ea4cb6e1aaecec105,5e283f576dbb560114ac7714,APPROVED,2023-09-27T17:12:11.517000Z,2023-09-27T17:20:48.562000Z,2023-09-27T20:33:33.341000Z,2023-09-27T17:20:52.843494Z,518.0,CE2K9TTL,1252,English,native language + one other language,Secondary education (e.g. GED/GCSE),No,"Mathematics, Video Games, Art",44,Male,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time,
65146278af237cbe279a6fd3,5f647c4fe156e620d39f38b0,APPROVED,2023-09-27T17:12:34.434000Z,2023-09-27T17:18:39.674000Z,2023-09-27T20:33:33.516000Z,2023-09-27T17:18:40.241918Z,366.0,CE2K9TTL,184,English,none just my native langauge,High school diploma/A-levels,No,"Health & Fitness, Literature, Art",27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
6514630ea0e10a18c6944e7b,5f4d4f3a2059689f1a2c33db,APPROVED,2023-09-27T17:18:48.906000Z,2023-09-27T17:22:51.720000Z,2023-09-27T20:33:33.633000Z,2023-09-27T17:24:54.655706Z,243.0,CE2K9TTL,606,"English, French, Portuguese, Spanish",native language + two other languages,Undergraduate degree (BA/BSc/other),No,"Art, Music, Health & Fitness",25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time,
651463424b02cedaa40f9875,611f8186d06a9e1844f3e012,APPROVED,2023-09-27T17:22:58.331000Z,2023-09-27T17:29:41.204000Z,2023-09-27T20:33:33.755000Z,2023-09-27T17:29:41.625438Z,403.0,CE2K9TTL,1090,English,none just my native langauge,Technical/community college,No,"Video Games, Art, Health & Fitness",53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
651463b1b5cfee6c1d1f272d,5c2f6d25e38ccd0001caab19,APPROVED,2023-09-27T17:17:46.738000Z,2023-09-27T17:24:53.399000Z,2023-09-27T20:33:33.881000Z,2023-09-27T17:25:28.296624Z,427.0,CE2K9TTL,1376,English,none just my native langauge,Technical/community college,No,"Art, Music, Science",45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
651463ce4f3c3197ece2ce07,600f46f6c513db11698a960d,APPROVED,2023-09-27T17:23:21.103000Z,2023-09-27T17:30:08.698000Z,2023-09-27T20:33:33.999000Z,2023-09-27T17:30:09.258789Z,408.0,CE2K9TTL,1116,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Video Games, Art, Travelling",44,Male,White,United States,United Kingdom,United Kingdom,English,Yes,Full-Time,
651463ed1ebdb4d3bd5f19d5,5ea180ae34f3aa0319313965,APPROVED,2023-09-27T17:26:06.453000Z,2023-09-27T17:32:30.147000Z,2023-09-27T20:33:34.118000Z,2023-09-27T17:32:30.813100Z,384.0,CE2K9TTL,1010,English,none just my native langauge,Doctorate degree (PhD/other),No,"Art, Health & Fitness, Science",36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,
651463f3c9f17c37f4dec667,62b5fea64b239d91783414ff,APPROVED,2023-09-27T17:18:46.882000Z,2023-09-27T17:37:44.563000Z,2023-09-27T20:33:34.240000Z,2023-09-27T17:37:45.070147Z,1138.0,CE2K9TTL,830,English,none just my native langauge,High school diploma/A-levels,No,"Art, Music, Video Games",28,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651464fb8079011068176e21,6081927660b125bdbfdf4fc9,APPROVED,2023-09-27T17:23:13.840000Z,2023-09-27T17:37:09.667000Z,2023-09-27T20:33:34.359000Z,2023-09-27T17:37:10.820448Z,836.0,CE2K9TTL,857,"English, Urdu",native language + one other language,Undergraduate degree (BA/BSc/other),No,"Health & Fitness, Entrepreneurship, Art",49,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
651465bc2c69dcb534fdbac7,5fdf213eeae543727a6624e3,APPROVED,2023-09-27T17:26:26.493000Z,2023-09-27T17:35:20.553000Z,2023-09-27T20:33:34.476000Z,2023-09-27T17:35:21.014226Z,535.0,CE2K9TTL,310,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Art, Video Games, Music",32,Male,Mixed,United States,United States,United States,English,No,Part-Time,
651465ccfff875326aa38162,5fabf588f711fa0c6b0aebf6,APPROVED,2023-09-27T17:26:43.148000Z,2023-09-27T17:54:30.390000Z,2023-09-27T20:33:34.587000Z,2023-09-27T17:54:38.492457Z,1668.0,CE2K9TTL,1380,English,none just my native langauge,Technical/community college,No,"Art, Marketing, Sports",75,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
651465d42289f6b3d303769b,6384e0fca81ec0f7e76d5227,APPROVED,2023-09-27T17:26:46.513000Z,2023-09-27T17:34:19.402000Z,2023-09-27T20:33:34.707000Z,2023-09-27T17:34:19.889275Z,453.0,CE2K9TTL,511,English,none just my native langauge,Undergraduate degree (BA/BSc/other),No,"Music, Sports, Art",36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
