Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Gender,Fluent languages,Highest education level completed,Literacy difficulties,Colourblindness,Hobbies - categories,Bilingual,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
632cd95986d636ac74580c5e,5b1804c9316c630001abfc84,APPROVED,2022-09-22T21:53:35.919000Z,2022-09-22T21:59:59.359000Z,2022-10-13T00:00:33.889000Z,2022-09-22T21:59:59.705258Z,384.0,NOCODE,189,3.0,99.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Health & Fitness, Art, Literature",none just my native langauge,50,Female,White,New Zealand,New Zealand,New Zealand,English,Yes,Full-Time,
632cd96dcf7d02fb2ff74bf7,6060c77fc2984151192200cd,APPROVED,2022-09-22T21:53:52.340000Z,2022-09-22T21:57:40.829000Z,2022-10-13T00:00:33.996000Z,2022-09-22T21:57:41.163344Z,229.0,175F631D,201,1.0,100.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Art, Video Games, Health & Fitness",none just my native langauge,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,
632cd9d5de96919a0fd0102c,5ca9add36df02d000199a04b,APPROVED,2022-09-22T21:55:36.433000Z,2022-09-22T22:00:05.949000Z,2022-10-13T00:00:34.102000Z,2022-09-22T22:00:06.359052Z,270.0,175F631D,219,5.0,98.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Travelling, Health & Fitness",none just my native langauge,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time,
632cd9d9405d7defe248638b,5fea451ffd62fb9f972d9495,APPROVED,2022-09-22T21:55:41.769000Z,2022-09-22T22:01:19.139000Z,2022-10-13T00:00:34.204000Z,2022-09-22T22:01:19.463248Z,338.0,175F631D,89,1.0,100.0,Woman (including Trans Female/Trans Woman),English,Secondary education (e.g. GED/GCSE),No,"No, I have no issues seeing colours","Sports, Entrepreneurship, Psychology",none just my native langauge,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cda0803bbd835d6717ec8,5eebe6415537e017c3eca1eb,APPROVED,2022-09-22T21:56:26.219000Z,2022-09-22T22:00:45.467000Z,2022-10-13T00:00:34.324000Z,2022-09-22T22:00:45.796944Z,260.0,175F631D,368,1.0,100.0,Man (including Trans Male/Trans Man),"Bengali, English",High school diploma/A-levels,Yes,"No, I have no issues seeing colours","Video Games, Travelling, Science",native language + one other language,33,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cda0bdadfbe865d7df404,5badf72e733441000102a34d,APPROVED,2022-09-22T21:56:27.351000Z,2022-09-22T22:04:36.260000Z,2022-10-13T00:00:34.430000Z,2022-09-22T22:04:36.581375Z,489.0,175F631D,765,10.0,97.0,Man (including Trans Male/Trans Man),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Travelling, Politics",none just my native langauge,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
632cda0ec1a13d308dbe28d6,5d608398b1fd3000011f333d,APPROVED,2022-09-22T21:56:33.221000Z,2022-09-22T22:02:32.643000Z,2022-10-13T00:00:34.530000Z,2022-09-22T22:02:33.018659Z,360.0,175F631D,4,0.0,100.0,Man (including Trans Male/Trans Man),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Music, Video Games, Literature",native language + two other languages,34,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
632cda3f8480da6a7bd28b3b,5f10771fe2e2f706c41b2b94,APPROVED,2022-09-22T21:57:22.416000Z,2022-09-22T22:02:19.516000Z,2022-10-13T00:00:34.632000Z,2022-09-22T22:02:20.145749Z,298.0,175F631D,139,2.0,99.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Psychology, Science, Travelling",none just my native langauge,27,Female,White,Canada,Canada,Canada,English,No,Full-Time,
632cda441f010cb86dcb9c41,5e94acdc3d1b5780b00d12ff,APPROVED,2022-09-22T21:57:31.044000Z,2022-09-22T22:03:27.960000Z,2022-10-13T00:00:34.732000Z,2022-09-22T22:03:28.350118Z,357.0,175F631D,232,1.0,100.0,Woman (including Trans Female/Trans Woman),English,Undergraduate degree (BA/BSc/other),No,"No, I have no issues seeing colours","Art, Psychology",none just my native langauge,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,
632cda4a9e852cf8c04afeb9,56fe6dd9e0f9ff001119e65b,APPROVED,2022-09-22T21:57:33.484000Z,2022-09-22T22:01:33.202000Z,2022-10-13T00:00:34.838000Z,2022-09-22T22:01:33.549203Z,240.0,175F631D,383,4.0,99.0,Woman (including Trans Female/Trans Woman),English,High school diploma/A-levels,No,"No, I have no issues seeing colours","Literature, Sociology, Music",none just my native langauge,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
